sub,ses,task,acq,space,res,desc,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal,coregDice,coregJaccard,coregCrossCorr,coregCoverag,normDice,normJaccard,normCrossCorr,normCoverage
86444,10076,face,singleband,MNI152NLin6Asym,2,preproc,0.0628631427430331,0.0382850050847457,0.208191,113.91786237384356,21.060070491862398,0.0,0,0.5434773613768097,-0.1499645183963862,0.9118956909112748,0.8380590751221058,0.8916993840392065,0.9494347045333746,0.9108159237390158,0.8362369075994195,0.8857277201877071,0.9431563772048848
83010,10101,face,singleband,MNI152NLin6Asym,2,preproc,0.2944396508024718,0.1679574497175141,2.92505,208.47460815497277,34.43458302413942,0.0,0,0.9481327335185752,0.1287950309417832,0.8790135913803695,0.7841429517979406,0.8459667717367937,0.9056240543605448,0.8808530251265421,0.7870753751768308,0.847015132254955,0.903544776119403
82492,10046,face,singleband,MNI152NLin6Asym,2,preproc,0.0908325693056179,0.0561826423728813,0.126359,120.02573578155408,26.09775357745511,0.0,0,0.2176614015821732,0.1794878731637048,0.8981193057050788,0.8150785383165039,0.8740216455671507,0.9074320109717752,0.8874024242655458,0.7975951445694539,0.8560094972572801,0.8876526458616011
86287,10083,face,singleband,MNI152NLin6Asym,2,preproc,0.1840323271404495,0.1035568934463277,1.13644,174.05051087677407,33.11839325982368,0.0,0,0.9426457093567852,-0.1939639353733773,0.9134541034651034,0.8406953690388963,0.886970411568376,0.9410314143502414,0.9117488442173818,0.8378110506684421,0.8868542541124302,0.939077340569878
105979,10067,face,singleband,MNI152NLin6Asym,2,preproc,0.0799093849056181,0.0437007050847457,0.255911,106.27806495502509,17.60455977592364,0.0,0,0.6964340324396969,-0.0260440623885949,0.9037097724702526,0.8243344232909628,0.8848197538360131,0.94779301593126,0.9091736964155837,0.8334724725907976,0.8840657484874506,0.9567121777476256
93169,10113,face,singleband,MNI152NLin6Asym,2,preproc,0.0956034978050281,0.0578368471751412,1.2102700000000002,129.15820824426248,21.375304325047928,0.0,0,0.9275298612026228,-0.0472761957449546,0.9077872396476612,0.8311450594615067,0.8885036931951447,0.9478221154091692,0.9060548593405202,0.8282452434445746,0.8796285549285643,0.9409981343283582
118393,10094,face,singleband,MNI152NLin6Asym,2,preproc,0.2026875117175675,0.1187378926553672,0.7848350000000001,169.89503895759657,24.39776917651717,0.0,0,0.8847533794133116,-0.0312610551374765,0.895161926030413,0.8102200196759821,0.8619701111268687,0.9227603074398072,0.891802018339902,0.8047316752950303,0.8611215577181816,0.914836329715061
119302,10122,face,singleband,MNI152NLin6Asym,2,preproc,0.185519877882022,0.1184867926553672,0.614891,124.98647740957358,20.52262544469245,0.0,0,0.7495126351233737,-0.0025154545123311,0.8971790185573164,0.8135309661806113,0.87159961664171,0.9160569592509072,0.8908295123836268,0.8031493105248726,0.8599377841041425,0.9065976933514248
85173,10069,face,singleband,MNI152NLin6Asym,2,preproc,0.1190191052393107,0.0706861306779661,1.11637,132.67515956905606,22.3094574821421,0.0,0,0.9215592232357728,-0.3767435638617418,0.8864884188575258,0.796119621807597,0.8519766818013786,0.9046326435744754,0.8880225534300008,0.7985976299871831,0.8563334083686823,0.9035490162822252
122916,10114,face,singleband,MNI152NLin6Asym,2,preproc,0.0955597142094943,0.0560167266101694,0.33847,118.49803108370573,21.791327730968927,0.0,0,0.7017905705146893,-0.0434743742353774,0.9216177963531272,0.854630012658221,0.9003825139599874,0.9502773298375,0.9221635639910156,0.8555691134413728,0.9003172506009859,0.951378052917232
