sub,ses,task,acq,space,den,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal
102041,10603,rest,multiband,fsLR,91k,0.0929771070917832,0.0552227578732276,0.162178,170.69527793461734,6.319020078417837,0.0,0,0.1386354460995853,0.0641833643606879
103679,10110,rest,multiband,fsLR,91k,0.1596722138349434,0.0880051778065054,0.8089819999999999,147.31604568804337,6.077755439763937,0.0,0,0.5608695491460466,0.116257185112599
104059,10762,rest,multiband,fsLR,91k,0.1833538757683333,0.1161833274311926,0.8941549999999999,143.86800785669263,5.109924003523223,0.0,0,0.562427818033597,0.1164298620349967
104235,10585,rest,multiband,fsLR,91k,0.0724437711289101,0.0426876200083402,0.222793,147.0385276391996,5.811182543955463,0.0,0,0.2206548310648391,0.0054592455059316
104785,10779,rest,multiband,fsLR,91k,0.0693657536992299,0.0382162068140116,0.207869,113.35110682775463,3.791703102670408,0.0,0,0.4029281100532889,0.0793904029079593
105168,10761,rest,multiband,fsLR,91k,0.0842061321509879,0.0505663448623853,0.17869,116.9724771723984,4.928515973312707,0.0,0,0.3958511389291971,0.0556342465648837
105176,10571,rest,multiband,fsLR,91k,0.0898989666619499,0.0557306657881567,0.193043,143.6979165828544,5.451555371478568,0.0,0,0.2415342228026226,-0.0014687954220861
105309,10776,rest,multiband,fsLR,91k,0.1214599042723332,0.0671721690992493,0.5189,134.94169971527822,5.49748755535816,0.0,0,0.3990396607574622,0.1705463876897517
105767,10708,rest,multiband,fsLR,91k,0.1503067056451416,0.0893833902752293,0.825274,122.0396755139672,4.632240564561757,0.0,0,0.6266972355765484,0.0374033134268903
105860,10641,rest,multiband,fsLR,91k,0.1635375666275347,0.0913185155546288,0.369106,136.86090894550435,5.755859089811859,0.0,0,0.7738683664272359,0.1235866889333696
105979,10067,rest,multiband,fsLR,91k,0.115759616974375,0.0631486340533778,0.603967,131.6329707309278,4.519219093852555,0.0,0,0.4660688459547677,0.3245905666648389
106039,10626,rest,multiband,fsLR,91k,0.1068541390276666,0.0623009995329441,0.202862,145.21739445217395,4.767076633341705,0.0,0,0.2614059576281482,0.0278649941371574
106246,10593,rest,multiband,fsLR,91k,0.1223917633022165,0.0678614124103419,1.4711,148.3521953541681,5.697214238387798,0.0,0,0.6682497621174555,0.0885722432955138
106331,10587,rest,multiband,fsLR,91k,0.4202850696236663,0.2318625195162635,4.15885,181.58220729842648,7.634709573944191,0.0,0,0.9087333908340453,0.3955895878588646
106802,10856,rest,multiband,fsLR,91k,0.084179883426021,0.0488776628773978,0.428116,139.00884845823242,4.936087334848996,0.0,0,0.4659802979804236,0.133605640402425
106880,10302,rest,multiband,fsLR,91k,0.1022590177935925,0.060515321000834,0.822701,146.9525790177571,6.170881869364587,0.0,0,0.7181908733672353,0.0446776070842655
107055,11231,rest,multiband,fsLR,91k,0.1298271696673333,0.0761937805087572,0.287781,137.5558788413825,5.157618784084154,0.0,0,0.6069201087686077,0.0501770696398074
108202,10740,rest,multiband,fsLR,91k,0.2023836780339549,0.126540502502085,0.404804,162.351173634467,6.2350424602397805,0.0,0,0.7224289590844597,0.1015008097794652
109521,10682,rest,multiband,fsLR,91k,0.0994358728308775,0.0559186458048373,0.479693,120.78737140410657,4.138427169108667,0.0,0,0.5979598219941978,0.0900124461895184
109646,10608,rest,multibandVARIANTObliquity,fsLR,91k,0.0801585765682301,0.0454981789241034,0.227774,157.90861790208,5.939301800122518,0.0,0,0.3502705484142296,0.0388964873744423
109735,10671,rest,multiband,fsLR,91k,0.1145809896228993,0.0667210013511259,0.253925,127.02471550129144,4.538257829289408,0.0,0,0.3792947684345664,0.1383254523136519
110168,10095,rest,multiband,fsLR,91k,0.185255362213604,0.1073394192326939,1.43937,145.78313044162007,6.416839213657095,0.0,0,0.8216729902237571,0.3369607446706747
110354,10910,rest,multiband,fsLR,91k,0.0884255508333331,0.0538219201751459,0.6478649999999999,123.18182886708595,4.404261675263642,0.0,0,0.3091408023205941,0.0390131218742036
110828,10134,rest,multibandVARIANTObliquity,fsLR,91k,0.1410657294196795,0.083442011442869,3.27648,141.50093476919778,5.203873563772881,0.0,0,0.8524063928992781,0.0828730796829714
112028,11225,rest,multiband,fsLR,91k,0.1709474554023334,0.1021737062552126,0.498235,118.65148493539512,4.11708277102797,0.0,0,0.4315321403311166,0.0065614710762829
112061,10056,rest,multiband,fsLR,91k,0.0886250678079332,0.053320454620517,0.188218,145.4397460828251,5.273380233420419,0.0,0,0.1688336453205238,-0.0141078187768227
112126,9968,rest,multiband,fsLR,91k,0.1568410415899998,0.0830824116513761,0.405537,140.71982962485083,5.3281910213830495,0.0,0,0.3743053071550419,0.1681483233466529
112249,10594,rest,multiband,fsLR,91k,0.1723157701784998,0.1046021252210175,0.90812,200.8696408510557,7.947665349567606,0.0,0,0.8217911095845369,0.1845827508551978
112332,10640,rest,multiband,fsLR,91k,0.1480653128584997,0.0918979696330275,0.260754,136.87990493831313,5.233587101859838,0.0,0,0.6883140481031135,0.050797236072091
112694,10632,rest,multiband,fsLR,91k,0.1199708257310833,0.0703624050542118,0.69528,140.22629176557734,5.242727183663249,0.0,0,0.3582168535485632,0.0149500171738445
113111,9958,rest,multiband,fsLR,91k,0.1011201619642331,0.059888281884904,0.215104,140.9100515135209,5.054018653965372,0.0,0,0.2580241828280071,0.0667703159369225
114709,10275,rest,multiband,fsLR,91k,0.1193066238830542,0.0733192347206004,0.180276,128.99866905709646,4.675143726256503,0.0,0,0.2012143642358977,-0.0221330937237731
114713,10107,rest,multiband,fsLR,91k,0.1140706473624354,0.0645842707756463,0.890594,132.3432043274609,4.892324399223255,0.0,0,0.3654571857869699,0.1955593495700004
114723,11256,rest,multiband,fsLR,91k,0.0868731796025598,0.0538862244954128,1.92732,154.46614401696905,5.060936188444048,0.0,0,0.8340541223964691,0.0530374088085167
114935,10916,rest,multiband,fsLR,91k,0.1245095507821948,0.0734103299332777,0.230912,113.78697657618264,3.972752385667746,0.0,0,0.3016211724370799,0.0045609464092382
114990,10096,rest,multiband,fsLR,91k,0.0771377508719998,0.0432578327022518,0.2516739999999999,142.27582385006107,5.236675756757683,0.0,0,0.5644314183208922,0.1188554893625074
115800,11253,rest,multiband,fsLR,91k,0.1647925774303913,0.1029286243452877,0.320221,132.61844666518178,4.719950043786737,0.0,0,0.4446645444673901,0.0032590370514867
116019,10078,rest,multiband,fsLR,91k,0.1278701899989265,0.0769134231359466,0.329075,134.024796761861,5.143274040875003,0.0,0,0.4186024134309223,0.0048830442166556
116051,10098,rest,multiband,fsLR,91k,0.1023156265893834,0.0570342908590491,0.208092,122.44638057115029,4.635385218742458,0.0,0,0.3044572441179773,0.034614052017943
116210,10102,rest,multiband,fsLR,91k,0.0913128372188334,0.0533896502251876,0.258129,152.37584558851822,5.603586249420902,0.0,0,0.278288931450076,0.0216921085415516
116354,10643,rest,multiband,fsLR,91k,0.1568419417853668,0.0930491433361134,1.59451,141.03033215233052,7.097822474017077,0.0,0,0.7720710819788164,0.4533657015495266
116360,10097,rest,multiband,fsLR,91k,0.1867389907665001,0.1182680835195996,0.341233,133.767005356205,4.769288647273697,0.0,0,0.6418116541985959,0.0178028497026093
117226,10074,rest,multiband,fsLR,91k,0.2354125333405831,0.1501767925771476,0.673457,164.25314167486613,5.953207520050763,0.0,0,0.667716779799143,0.0136356425969127
117397,10582,rest,multiband,fsLR,91k,0.0934041534079325,0.0544751561968306,0.99275,147.07939954926616,5.761507694269191,0.0,0,0.8476237015782565,0.2330639450629648
118393,10094,rest,multiband,fsLR,91k,0.1395270889613149,0.081113627973311,0.416644,165.30838083343798,5.928842502485151,0.0,0,0.6540789226623188,0.0687791918001629
