sub,ses,task,acq,space,den,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal
102041,10603,rest,singleband,fsLR,91k,0.0916197312116127,0.0528889693495934,0.23487,156.7778614281948,50.517815464760105,0.0,0,0.5251076042802244,-0.3146162876704338
103679,10110,rest,singleband,fsLR,91k,0.2229980167145157,0.1210094577235772,0.34871,162.45107907706102,44.7597888120467,0.0,0,0.6263958551247131,-0.1061953854772834
104059,10762,rest,singleband,fsLR,91k,0.4278555759354838,0.271623137398374,2.55991,179.7656071084179,48.37766457680569,0.0,0,0.8363499216175535,0.0969204699022056
104235,10585,rest,singleband,fsLR,91k,0.0620950327514513,0.0341507049593495,0.138558,125.07700243311557,40.82468908642608,0.0,0,0.4709665844234487,-0.1245829859583102
104785,10779,rest,singleband,fsLR,91k,0.0421604699833867,0.0228654415447154,0.109092,109.53752559968544,29.92713372050575,0.0,0,0.2701908315385281,-0.1740321326634399
105168,10761,rest,singleband,fsLR,91k,0.1061190895322581,0.0630956894308943,0.272622,109.84315970156904,33.799455662784624,0.0,0,0.7684732751397656,-0.0669281420115091
105176,10571,rest,singleband,fsLR,91k,0.0571841161935479,0.0321193747154471,0.0934298,121.20460852573318,39.03904840047206,0.0,0,0.4081175905584043,-0.1153734769950282
105309,10776,rest,singleband,fsLR,91k,0.0770499762258062,0.0409437592682926,0.208927,124.7835838611548,46.08690215015783,0.0,0,0.4417544027937424,-0.2257300049840528
105767,10708,rest,singleband,fsLR,91k,0.1039833045693548,0.0591787361788617,0.454322,112.33835647035724,34.25654261456319,0.0,0,0.6625323070693367,-0.2441667728747423
105860,10641,rest,singleband,fsLR,91k,0.0560974959983862,0.0297327582926829,0.206322,127.21224738015128,37.86973231107532,0.0,0,0.305305365471501,-0.2825913279053164
105979,10067,rest,singleband,fsLR,91k,0.1284923240806454,0.0686558943089431,0.352792,120.21404984751446,35.131844253140414,0.0,0,0.5948190325100438,-0.0017276248008138
106039,10626,rest,singleband,fsLR,91k,0.0451583858560474,0.0251205407317073,0.0815268999999999,129.3457010869858,40.466115686798105,0.0,0,0.175565990031333,-0.080625087814986
106246,10593,rest,singleband,fsLR,91k,0.0989756480322571,0.0578615951219512,0.344187,134.1694823512653,43.71545174030614,0.0,0,0.7713413903176997,-0.4999353706446024
106331,10587,rest,singleband,fsLR,91k,0.2273753897129031,0.1224932238211382,3.03443,183.6098711912352,52.62126049326681,0.0,0,0.9510812024015564,-0.4764946155539191
106802,10856,rest,singleband,fsLR,91k,0.0598174687816267,0.0342112421951219,0.0951197,124.395929395528,37.43007918118994,0.0,0,0.3167607049896549,-0.0356751942882139
106880,10302,rest,singleband,fsLR,91k,0.1142468459274193,0.0666991292682926,0.241711,134.18270140449195,42.39420592023183,0.0,0,0.4149704130060989,-0.2494209606501322
107055,11231,rest,singleband,fsLR,91k,0.112931087308064,0.0675127482926829,1.24541,138.73481680489292,43.44441241359328,0.0,0,0.7884091359506513,-0.3629493907659609
108202,10740,rest,singleband,fsLR,91k,0.1264194872370961,0.0732553138211382,0.429364,166.1780551565727,51.97001473662178,0.0,0,0.4606025800870806,-0.3895152244129309
109521,10682,rest,singleband,fsLR,91k,0.0762144056193548,0.0418373723577235,0.4255350000000001,102.20580782719652,30.44978744736164,0.0,0,0.6173155653004613,-0.3084735244082024
109646,10608,rest,singlebandVARIANTObliquity,fsLR,91k,0.0780780715561289,0.0442937524390243,0.24373,148.05127529578758,46.38218067450519,0.0,0,0.731112368133071,-0.1437507249770068
109735,10671,rest,singleband,fsLR,91k,0.1384278717741933,0.073288756910569,0.240471,120.50994423934112,35.64762822214923,0.0,0,0.5797589298728986,0.0502004620763963
110168,10095,rest,singleband,fsLR,91k,0.3608019413467738,0.2162199170731707,2.32438,202.6305223151972,48.95774832527832,0.0,0,0.9721011574187828,-0.0399586739473955
110354,10910,rest,singleband,fsLR,91k,0.147606435556451,0.0824178341463414,0.185066,134.95085369647424,37.37756750638895,0.0,0,0.3793202485938039,-0.0604689422072229
112028,11225,rest,singleband,fsLR,91k,0.1292297887629026,0.0771713268292682,0.506817,102.07560204946358,33.796314508868534,0.0,0,0.6102874767890348,-0.122961597157651
112061,10056,rest,singleband,fsLR,91k,0.0817007299870966,0.0431182373983739,0.124737,146.45548225875493,44.36394586336608,0.0,0,0.4397164763663825,-0.1047059076096773
112126,9968,rest,singleband,fsLR,91k,0.3464614925806453,0.1918533528455284,0.8332959999999999,161.83070732222848,42.87262708146799,0.0,0,0.6545383134856307,-0.1574655290925275
112249,10594,rest,singleband,fsLR,91k,0.1612412586612903,0.0931609268292682,0.5760390000000001,217.74805937538187,61.84465678723646,0.0,0,0.8570746267157131,-0.0664741714270003
112332,10640,rest,singleband,fsLR,91k,0.126480990709677,0.0749300739837398,0.177874,162.89394761532836,46.659093387111945,0.0,0,0.5080145649751527,0.0290219213492041
112694,10632,rest,singleband,fsLR,91k,0.1561132162961291,0.0923768178861788,0.418373,145.24854333698963,43.68801439681775,0.0,0,0.6263151236538255,-0.1417258086084369
113111,9958,rest,singleband,fsLR,91k,0.076592257253226,0.0421941276422764,0.115486,115.93968559273372,38.06080369014127,0.0,0,0.4569935786815849,-0.1443828330243576
114709,10275,rest,singleband,fsLR,91k,0.0521586401919354,0.0306894176422764,0.0745021,97.63776650979048,36.11750117540311,0.0,0,0.2699962537653226,-0.0859894732713713
114713,10107,rest,singleband,fsLR,91k,0.1100419043070964,0.0599909430894308,0.285969,124.59710716774636,39.70313060140924,0.0,0,0.8105405759975994,-0.1101982915822337
