sub,ses,task,acq,space,res,desc,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal,coregDice,coregJaccard,coregCrossCorr,coregCoverag,normDice,normJaccard,normCrossCorr,normCoverage
114935,10916,rest,multiband,MNI152NLin6Asym,2,preproc,0.1245095507821948,0.0734103299332777,0.230912,140.9814795050427,4.784839071171711,0.0,0,0.2344221697220151,0.0018189168191057,0.9250963150154692,0.8606318202628385,0.9081848530525056,0.987849596062497,0.9245595063927232,0.8597030815638493,0.9048145448375976,0.9860922659430122
114990,10096,rest,multiband,MNI152NLin6Asym,2,preproc,0.0771377508719998,0.0432578327022518,0.2516739999999999,166.64877786430563,5.920901674529026,0.0,0,0.2665757316279559,0.0600944459988452,0.915282279498903,0.8437976647750149,0.8926697756286235,0.985056883680079,0.9153168754243208,0.8438564726287106,0.8934332893680126,0.9861177069199456
115800,11253,rest,multiband,MNI152NLin6Asym,2,preproc,0.1647925774303913,0.1029286243452877,0.320221,153.53757296594603,5.311336514423427,0.0,0,0.4370596069666534,0.0065512561840138,0.9151434076189602,0.8435616412768496,0.8974944882766589,0.985057321619306,0.914710813899153,0.8428268019378905,0.8928131641967998,0.9877162483039348
116019,10078,rest,multiband,MNI152NLin6Asym,2,preproc,0.1278701899989265,0.0769134231359466,0.329075,153.78073209830427,6.2367482270013,0.0,0,0.4035611822379703,0.0244172654217137,0.907749972311118,0.8310825811850499,0.8872050064102026,0.98967198330841,0.9122835201003056,0.8387144416387194,0.8897999642645974,0.9872498303934872
116051,10098,rest,multiband,MNI152NLin6Asym,2,preproc,0.1023156265893834,0.0570342908590491,0.208092,152.345902278518,5.829927258262589,0.0,0,0.2651232650984295,0.0389299617293957,0.90331461573389,0.8236770806774071,0.8857569129741043,0.9930547774799544,0.9005075769432159,0.8190211756436165,0.8754882783551551,0.9880936227951154
116210,10102,rest,multiband,MNI152NLin6Asym,2,preproc,0.0913128372188334,0.0533896502251876,0.258129,182.2632452117357,6.956383165076742,0.0,0,0.1818685808494652,0.0102011742352373,0.927026052037622,0.8639781551062661,0.9098872905782428,0.986462707572133,0.9255684730557434,0.8614494733676625,0.9059179060202018,0.9838619402985076
116354,10643,rest,multiband,MNI152NLin6Asym,2,preproc,0.1568419417853668,0.0930491433361134,1.59451,164.13340919090135,9.175951839933145,0.0,0,0.775621143220467,0.4729840062471115,0.9178449785468276,0.848164043368111,0.9011609791002392,0.9899101433183228,0.9222820884067948,0.8557731837669583,0.9021781237324248,0.9885515603799184
116360,10097,rest,multiband,MNI152NLin6Asym,2,preproc,0.1867389907665001,0.1182680835195996,0.341233,160.45966593706362,5.766111401887168,0.0,0,0.4793191685005227,0.0059608276383509,0.9306454674640614,0.8702871116626463,0.9182523701753262,0.9928562559998062,0.9279295639454248,0.8655490653770694,0.9089621678337374,0.985820895522388
117226,10074,rest,multiband,MNI152NLin6Asym,2,preproc,0.2354125333405831,0.1501767925771476,0.673457,215.50798828629195,7.6314059883855805,0.0,0,0.5899692942751117,0.0066667013580916,0.918747958082852,0.8497074895265279,0.9060206287549196,0.9944286830976684,0.9207722773836426,0.8531770061942319,0.9005584531775974,0.9916808005427408
117397,10582,rest,multiband,MNI152NLin6Asym,2,preproc,0.0934041534079325,0.0544751561968306,0.99275,177.71981206718726,7.029140148280694,0.0,0,0.8390820839908565,0.2539521377516536,0.905725978015716,0.8276957689019543,0.8884655281788123,0.9920791808657746,0.9111274687355166,0.8367622862865727,0.888782752984949,0.991952170963365
118393,10094,rest,multiband,MNI152NLin6Asym,2,preproc,0.1395270889613149,0.081113627973311,0.416644,198.3657599400624,6.662549407033425,0.0,0,0.4028538853265928,0.068149778336741,0.8984548271373247,0.8156313960347508,0.8699171098748645,0.9915427235133526,0.899330853870606,0.8170764639248652,0.8740357905928812,0.9878816146540028
118864,10127,rest,multibandVARIANTObliquity,MNI152NLin6Asym,2,preproc,0.0747598087904965,0.0422790713511259,0.255405,184.4621009369364,6.2482380872468966,0.0,0,0.2971103958671106,0.1462274167017421,0.9281589181755572,0.8659482584822034,0.909771523394694,0.9890803111408696,0.9249810005451152,0.8604322351643552,0.9053095860148358,0.9857064111261872
118990,10156,rest,multibandVARIANTObliquity,MNI152NLin6Asym,2,preproc,0.0816695389793333,0.0426269989741451,0.131355,178.0602920271412,6.321667932872285,0.0,0,0.0939874414465705,0.0436154634884973,0.8928938389570752,0.806511489481681,0.8720935194408174,0.9892333376104472,0.8919440212414959,0.8049629606627402,0.8651968964823692,0.989229986431479
119302,10122,rest,multiband,MNI152NLin6Asym,2,preproc,0.1044819822644398,0.0637317701834862,0.25988,144.63132715673973,5.5298542552448255,0.0,0,0.2918017566253844,0.0767180608594822,0.9235482671614368,0.8579560411186058,0.9065586355399876,0.9910533923576164,0.92255905597613,0.8562502298554668,0.9024234418064848,0.9872074287652646
119791,10082,rest,multiband,MNI152NLin6Asym,2,preproc,0.1917474572502498,0.1211845083402835,0.452464,204.6196335037504,7.461561736846276,0.0,0,0.5377292236213753,-0.0876196808691886,0.9183705043842838,0.8490620014587366,0.8985032507561633,0.991345638815833,0.9192966061265238,0.8506465431107462,0.8988336564324795,0.9927323609226596
120217,10702,rest,multiband,MNI152NLin6Asym,2,preproc,0.1203512904711416,0.079691024737281,0.233606,169.43524299924508,5.779204649239222,0.0,0,0.4604530855236731,-0.0198476288875135,0.8999343760854771,0.8180733553723006,0.8783674499177878,0.9928620795503206,0.9045980861151388,0.8258138630659927,0.8807051262469526,0.9906334803256444
120562,10666,rest,multiband,MNI152NLin6Asym,2,preproc,0.1066693572079433,0.0630212402919099,0.382828,183.2448594422336,7.178736864399592,0.0,0,0.2755567343092615,-0.0073449209608151,0.8986854873792582,0.8160116634082142,0.8714666933029868,0.9888170329982078,0.8994391211097225,0.8172552180999282,0.8742417228013818,0.9886660447761194
121001,10494,rest,multiband,MNI152NLin6Asym,2,preproc,0.0713124292785247,0.0408576642201834,0.7530489999999999,156.0077387516036,5.642429750598029,0.0,0,0.5229918237243958,0.0471637286086976,0.8986377814952882,0.815933002237305,0.8770585095832257,0.995099906643618,0.8977780679252239,0.8145166066830881,0.8724791625203369,0.9912864654002712
121050,10890,rest,multiband,MNI152NLin6Asym,2,preproc,0.1128410997600002,0.0616806019766471,0.222972,153.63561762137638,5.24237892370986,0.0,0,0.2955595594677138,0.1033611429558725,0.8753205849532544,0.7782845255657791,0.8512796089474937,0.9940186674546824,0.8810988632191057,0.7874680204133571,0.8530095864478959,0.9971166892808684
121085,10015,rest,multiband,MNI152NLin6Asym,2,preproc,0.0963266465038662,0.0550154016263552,0.322741,174.12135808423665,6.485897835237914,0.0,0,0.2511651461609914,0.1546634388387533,0.9227790032149704,0.8566292394680463,0.903085597625144,0.9742348036848998,0.9247621146256936,0.8600535074187514,0.904611768710306,0.978697421981004
121407,10619,rest,multiband,MNI152NLin6Asym,2,preproc,0.084981653882305,0.0528817671643035,0.158298,149.1763852843139,4.967668311018582,0.0,0,0.4074717463711592,-0.003813585896225,0.8862229536673528,0.7956915224509559,0.8632580744183861,0.9946038832454004,0.8871091346317193,0.7971214089695621,0.8601425046164266,0.9963916214382632
121476,10280,rest,multiband,MNI152NLin6Asym,2,preproc,0.564680417094774,0.3406674518765638,7.8349,280.44223250351195,14.695566059318349,0.0,0,0.8952530519807583,0.4856179056319931,0.9107984719409709,0.8362074863813542,0.8887437646230165,0.9887805078277672,0.9143430964958896,0.8422026273168977,0.8927325848052178,0.9922235413839892
121670,10158,rest,multibandVARIANTObliquity,MNI152NLin6Asym,2,preproc,0.1157749462197262,0.0770447173561301,0.228376,152.9494030612311,5.319485477951063,0.0,0,0.3150340154588201,0.0071613263934391,0.9222799511108596,0.8557695034638162,0.908077577305126,0.9892263137228896,0.9221661829312778,0.8555736221370395,0.9018656534311636,0.9861516282225238
