sub,ses,task,acq,space,res,desc,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal,coregDice,coregJaccard,coregCrossCorr,coregCoverag,normDice,normJaccard,normCrossCorr,normCoverage
102041,10603,fracback,singleband,MNI152NLin6Asym,2,preproc,0.0598687890748918,0.0331894725652173,0.242481,165.70762187576017,57.02267691947682,0.0,0,0.6266839614548041,-0.0208484150100812,0.8312477138039778,0.7112265991876413,0.7989227396724496,0.9935177784411724,0.8337240869805157,0.714860075281849,0.7959796418437697,0.9929019674355496
103679,10110,fracback,singleband,MNI152NLin6Asym,2,preproc,0.1413727606597401,0.0744129886956521,0.490929,170.90046796984797,52.00724910026413,0.0,0,0.7094051142914838,-0.103409645956586,0.8580840582445808,0.7514424020786367,0.8239246858377237,0.9864409126422912,0.860104871016776,0.7545473694443995,0.8266082457645466,0.9872879918588874
104235,10585,fracback,singleband,MNI152NLin6Asym,2,preproc,0.0792143443948309,0.0444851484347825,1.39663,168.85170645367987,55.76411710226699,0.0,0,0.8700417036297899,-0.4050598216269532,0.8869182636614632,0.7968132390519366,0.8620201193979505,0.9898283347538054,0.8790294036927329,0.7841681187610595,0.8490728924990986,0.984612449118046
104785,10779,fracback,singleband,MNI152NLin6Asym,2,preproc,0.081382670415584,0.0461795242173912,0.512579,144.56978914971504,39.24280810489124,0.0,0,0.7719376530682991,0.2852180504140786,0.8863302930562379,0.7958645974923656,0.859987802578145,0.9777525529243496,0.878042130970026,0.7825981306492076,0.8463675754078824,0.9695768317503392
105168,10761,fracback,singleband,MNI152NLin6Asym,2,preproc,0.1392317553627703,0.0845465939999999,0.351915,138.2906735153109,41.66528507027741,0.0,0,0.6849511782236987,0.1904708838186709,0.8594268268552441,0.7535043319365973,0.828789748007995,0.9902726123405876,0.8604684612916431,0.7551071927916732,0.8273008350867336,0.9892723880597016
105176,10571,fracback,singleband,MNI152NLin6Asym,2,preproc,0.2555010246999999,0.1548203411304347,3.73267,180.3829046931045,50.939184002683454,0.0,0,0.8397248777829167,0.0785131129963901,0.842488553598704,0.7278446845756917,0.8098192039715515,0.990353731833745,0.8384528280251126,0.7218413924589537,0.8014667705994541,0.9921217774762552
105767,10708,fracback,singleband,MNI152NLin6Asym,2,preproc,0.2505893159220776,0.1548956464782608,3.91228,157.88846215623087,45.65613096346841,0.0,0,0.8852825379804521,0.180174287794869,0.8721101533266463,0.7732228070842957,0.8509854187645107,0.9941072364684014,0.870266619280915,0.7703292069912839,0.8393353069510576,0.991583276797829
105860,10641,fracback,singleband,MNI152NLin6Asym,2,preproc,0.0956013073073592,0.0493110556521739,0.690875,153.4974427486296,47.134177445552005,0.0,0,0.7663425519744185,-0.018588130169667,0.8887620179086089,0.7997944924775932,0.8638678282838547,0.9932807026279086,0.8859362688647797,0.7952294326663153,0.8581922010420999,0.9916595997286296
105979,10067,fracback,singleband,MNI152NLin6Asym,2,preproc,0.073757318855411,0.0412851996956521,0.23449,134.55375960522537,33.86933186116919,0.0,0,0.3265863797966934,0.1217511638935528,0.8406379815011842,0.7250867012097506,0.8179732861532524,0.9950990734794972,0.8373240401746382,0.7201697369750446,0.8009445413621581,0.9973880597014926
106039,10626,fracback,singleband,MNI152NLin6Asym,2,preproc,0.0636041807526208,0.0360123939999999,0.166826,136.42961906254183,44.52016695468514,0.0,0,0.678281077016573,0.1073495614069685,0.8522228333843509,0.7424985077000847,0.8215335067845774,0.99832967578626,0.8569957570490678,0.7497747819697792,0.8239536254604161,0.9951746947082768
106246,10593,fracback,singleband,MNI152NLin6Asym,2,preproc,0.1343090587489178,0.0800965099130434,0.628969,167.20055058559348,58.65369663728119,0.0,0,0.823290492569405,0.1794107599150031,0.8651295309599345,0.7623156602988425,0.8289013103302982,0.9902038126404094,0.8628181966266345,0.7587337346298967,0.8299795746830332,0.9882165875169606
106331,10587,fracback,singleband,MNI152NLin6Asym,2,preproc,0.3610699887872726,0.2229233425217391,4.74296,227.83105794886183,64.59469833017963,0.0,0,0.929805349543914,-0.0224952609241094,0.8333031503489907,0.7142413649254769,0.7928033861219668,0.9920587508702584,0.8332341774978784,0.7141400282972065,0.7947622600419992,0.9887678086838536
106802,10856,fracback,singleband,MNI152NLin6Asym,2,preproc,0.0628085921939392,0.0360286280869565,0.190132,161.91640126421677,47.26684490480654,0.0,0,0.492736852297104,-0.1108972189493291,0.8707925179897872,0.7711536912947159,0.8367558764437901,0.9901162000936023,0.8723794212816949,0.7736462403632908,0.8421688303753596,0.993983208955224
106880,10302,fracback,singleband,MNI152NLin6Asym,2,preproc,0.0529323150060603,0.0300371403043478,0.1448809999999999,124.43266215075909,43.95090643306466,0.0,0,0.5913528225096047,0.0489458759592246,0.8601649190561285,0.7546398013507756,0.8318197446850804,0.9901500118240986,0.8658264478825047,0.7633985524226092,0.8344107704933601,0.9946192333785616
107055,11231,fracback,singleband,MNI152NLin6Asym,2,preproc,0.2683093784112552,0.1632209139130435,3.39251,181.74600704843985,50.75504250683786,0.0,0,0.9358560708202872,0.0536027001950411,0.8626601606835395,0.7584893545995864,0.8287875644189379,0.9871545216577337,0.8660135879510507,0.7636895634280921,0.8338200795853885,0.9882759497964722
