,sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
137,132224,10151,0.112604048,0.00071275,0.990573889,0.981323821,0.987916773,1,0.962538305,0.927782019,0.952472378,0.977242537,0.834869353,0,0,0,0,57.57769837,40.83047311,1.410164859,0.127183314,0,0,0,0
138,82790,10059,0.206853636,0.001198265,0.999622042,0.999244371,0.999526565,1,0.977803141,0.956570284,0.971599573,0.984451323,0.805333405,0,0,0,0,43.32051606,32.26264646,1.342745274,0.133626038,0,0,0,0
139,90060,10180,0.131317175,0.001044106,0.988955463,0.978152225,0.985877301,1,0.958204328,0.919762246,0.94708778,0.976165548,0.792139146,0,0,0,0,36.21119711,25.25121914,1.434037577,0.288233299,0,0,0,0
140,130211,10106,0.130055544,0.000896951,0.992946472,0.985991752,0.9907538,1,0.960741227,0.924448513,0.950187909,0.975532682,0.833810455,0,0,0,0,56.01034451,39.3044553,1.425038055,0.092929606,0,0,0,0
141,98567,10554,0.148535428,0.000556262,0.987357662,0.97503099,0.984069189,1,0.962496056,0.927703516,0.952324145,0.974477535,0.374598898,0,0,0,0,732.6124397,531.0592605,1.379530486,0.066533599,0,0,0,0
142,106880,10302,0.141695196,0.000747894,0.983893661,0.968297927,0.979916538,1,0.960696942,0.924366512,0.950120378,0.975189248,0.427292727,0,0,0,0,545.4409895,410.9939077,1.327126702,0.216715349,0,0,0,0
143,103679,10110,0.19253831,0.002191047,0.9916281,0.983395215,0.989322886,1,0.963898087,0.930312042,0.954151881,0.977132227,0.784129793,0,0,0,0,54.12085652,39.982347,1.353618799,0.167926113,0,0,0,0
144,20120,10939,0.200090495,0.001169386,0.996661036,0.993344296,0.995864787,1,0.971745105,0.945043014,0.963881978,0.972787728,8.67E-13,0,0,0,0,740.3875042,406.8538108,1.819787562,0.280678118,0,0,0,0
145,90281,10147,0.156813756,0.001369241,0.99661622,0.993255262,0.99575176,1,0.971331087,0.944260174,0.963427281,0.977039897,0.806208526,0,0,0,0,34.71632981,24.90179494,1.394129616,0.165220983,0,0,0,0
146,105979,10067,0.115600518,0.001112051,0.999845907,0.999691861,0.999813624,1,0.97967501,0.960159773,0.974010551,0.988678765,0.794625763,0,0,0,0,59.49348057,45.07333483,1.319926311,0.222395196,0,0,0,0
