Unnamed: 0,SubjectID,HasOutput,HasHTML,NoErrorsToReport,HasDwiDir,HasFmapDir,HasAnatDir,ProducedPreprocessedDWIs,ProducedPreprocesedANATs,RanT1wSpatialNormalization,AllFmapsHaveIntendedFors,NoMissingDwiPhaseEncodingDirection,NoMissingFmapPhaseEncodingDirection,RuntimeErrorDescription,OSErrorDescription,CommandErrorDescription,HadScratchSpace,HadRAMSpace,HadDiskSpace,FinishedSuccessfully,HasErrorFile,ValueError,ConnectionOpenFailError,Broken Pipe,ProducedPreprocessedANATs
0,sub-114990,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-114990' failed with exitcode 1 under /scratch/grmpy/SGE_2523436/job-2523436-sub-114990/ds
",True,True,True,False,True,False,False,False,False
0,sub-115800,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-116019,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-116019' failed with exitcode 1 under /scratch/grmpy/SGE_2523438/job-2523438-sub-116019/ds
",True,True,True,False,True,False,False,False,False
0,sub-116051,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-116051' failed with exitcode 1 under /scratch/grmpy/SGE_2523439/job-2523439-sub-116051/ds
",True,True,True,False,True,False,False,False,False
0,sub-116210,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-116210' failed with exitcode 1 under /scratch/grmpy/SGE_2523440/job-2523440-sub-116210/ds
",True,True,True,False,True,False,False,False,False
0,sub-116354,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-116360,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-116360' failed with exitcode 1 under /scratch/grmpy/SGE_2523442/job-2523442-sub-116360/ds
",True,True,True,False,True,False,False,False,False
0,sub-117226,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-117226' failed with exitcode 1 under /scratch/grmpy/SGE_2523443/job-2523443-sub-117226/ds
",True,True,True,False,True,False,False,False,False
0,sub-117397,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-118393,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-118393' failed with exitcode 1 under /scratch/grmpy/SGE_2523445/job-2523445-sub-118393/ds
",True,True,True,False,True,False,False,False,False
0,sub-118864,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-118990,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-119302,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-119302' failed with exitcode 1 under /scratch/grmpy/SGE_2523448/job-2523448-sub-119302/ds
",True,True,True,False,True,False,False,False,False
0,sub-119791,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-119791' failed with exitcode 1 under /scratch/grmpy/SGE_2523449/job-2523449-sub-119791/ds
",True,True,True,False,True,False,False,False,False
0,sub-120217,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-120562,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-121001,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-121050,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-121085,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-121085' failed with exitcode 1 under /scratch/grmpy/SGE_2523454/job-2523454-sub-121085/ds
",True,True,True,False,True,False,False,False,False
0,sub-121407,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-121476,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-121476' failed with exitcode 1 under /scratch/grmpy/SGE_2523456/job-2523456-sub-121476/ds
",True,True,True,False,True,False,False,False,False
0,sub-121670,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-122522,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-122528,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-122801,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-122916,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-122916' failed with exitcode 1 under /scratch/grmpy/SGE_2523461/job-2523461-sub-122916/ds
",True,True,True,False,True,False,False,False,False
0,sub-125511,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-125535,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-125554,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-125554' failed with exitcode 1 under /scratch/grmpy/SGE_2523464/job-2523464-sub-125554/ds
",True,True,True,False,True,False,False,False,False
0,sub-126176,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-126389,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-126554,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-126903,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-126903' failed with exitcode 1 under /scratch/grmpy/SGE_2523468/job-2523468-sub-126903/ds
",True,True,True,False,True,False,False,False,False
0,sub-126921,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-127008,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
