Unnamed: 0,SubjectID,HasOutput,HasHTML,NoErrorsToReport,HasFuncDir,HasBold,ProducedFuncDir,RanSurfBold,RanVolBold,HasErrorFile,RuntimeErrorDescription,OSErrorDescription,CommandErrorDescription,HadScratchSpace,HadRAMSpace,HadDiskSpace,FinishedSuccessfully,ValueError,ConnectionOpenFailError,Broken Pipe,HasT1
0,sub-119791,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-120217,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-120562,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-121001,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-121050,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-121085,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-121407,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-121476,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-121670,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-122522,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-122528,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-122801,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-122916,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-125511,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-125535,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-125554,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-126176,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-126389,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-126554,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-126903,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-126921,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-127008,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-127236,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-127305,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-127417,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-127542,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
0,sub-127611,True,True,True,True,True,True,True,True,True,No Runtime Error,No OS Error,No Command Error,True,True,True,True,False,False,False,True
